sound,light,label
10.19,3.0,dark
14.15,3.0,dark
22.99,3.0,dark
17.93,3.0,dark
21.81,3.0,dark
24.63,3.0,dark
11.58,3.0,dark
11.81,3.0,dark
27.59,3.0,dark
9.13,3.0,dark
12.93,3.0,dark
17.07,3.0,dark
17.48,3.0,dark
21.11,3.0,dark
22.78,3.0,dark
21.55,3.0,dark
10.72,3.0,dark
13.69,3.0,dark
26.24,3.0,dark
17.47,3.0,dark
16.82,3.0,dark
17.46,3.0,dark
17.35,3.0,dark
20.0,3.0,dark
26.74,3.0,dark
13.49,3.0,dark
30.33,3.0,dark
11.17,3.0,dark
12.76,3.0,dark
8.87,3.0,dark
9.81,3.0,dark
25.95,3.0,dark
17.76,3.0,dark
16.11,3.0,dark
10.75,3.0,dark
11.17,3.0,dark
23.16,3.0,dark
17.46,3.0,dark
11.96,3.0,dark
22.86,3.0,dark
20.32,3.0,dark
30.36,3.0,dark
14.66,3.0,dark
36.88,3.0,dark
18.57,3.0,dark
18.18,3.0,dark
8.95,3.0,dark
7.27,3.0,dark
8.35,3.0,dark
7.26,3.0,dark
13.01,3.0,dark
21.13,3.0,dark
11.29,3.0,dark
7.34,3.0,dark
13.36,3.0,dark
22.76,3.0,dark
11.5,3.0,dark
14.88,3.0,dark
14.99,3.0,dark
14.39,3.0,dark
18.63,3.0,dark
26.95,3.0,dark
11.56,3.0,dark
9.24,3.0,dark
46.42,3.0,dark
25.8,3.0,dark
19.0,3.0,dark
