sound,light,label
9.22,381.0,focus
8.42,381.0,focus
7.31,397.0,focus
6.8,397.0,focus
8.06,406.0,focus
8.24,406.0,focus
7.16,404.0,focus
8.17,404.0,focus
8.87,385.0,focus
7.74,385.0,focus
7.47,408.0,focus
7.37,408.0,focus
7.3,407.0,focus
8.49,407.0,focus
9.93,386.0,focus
8.66,386.0,focus
10.37,379.0,focus
9.86,379.0,focus
8.56,391.0,focus
7.36,391.0,focus
7.21,401.0,focus
8.22,401.0,focus
12.0,409.0,focus
14.36,409.0,focus
9.51,406.0,focus
7.51,406.0,focus
7.44,384.0,focus
7.84,384.0,focus
7.2,383.0,focus
7.26,383.0,focus
7.14,401.0,focus
7.77,401.0,focus
6.84,408.0,focus
7.54,408.0,focus
6.9,403.0,focus
7.47,403.0,focus
8.38,394.0,focus
7.7,394.0,focus
7.49,381.0,focus
7.55,381.0,focus
7.57,379.0,focus
6.86,379.0,focus
7.52,398.0,focus
7.11,398.0,focus
7.49,407.0,focus
7.91,407.0,focus
8.44,403.0,focus
9.79,403.0,focus
9.38,381.0,focus
7.39,381.0,focus
7.48,386.0,focus
7.31,386.0,focus
8.36,398.0,focus
8.04,398.0,focus
7.6,408.0,focus
9.51,408.0,focus
7.45,408.0,focus
6.94,408.0,focus
8.23,397.0,focus
7.48,397.0,focus
7.78,377.0,focus
7.44,377.0,focus
7.65,395.0,focus
9.49,395.0,focus
7.22,407.0,focus
7.82,407.0,focus
8.71,386.0,focus
7.85,386.0,focus
7.95,381.0,focus
7.94,381.0,focus
8.51,391.0,focus
6.91,391.0,focus
9.21,407.0,focus
7.66,407.0,focus
8.17,402.0,focus
6.86,402.0,focus
7.42,379.0,focus
7.98,379.0,focus
7.31,389.0,focus
9.22,389.0,focus
8.06,409.0,focus
10.08,409.0,focus
7.93,394.0,focus
7.85,394.0,focus
