sound,light,label
82.73,3.0,noisy
65.71,117.0,noisy
58.32,117.0,noisy
71.25,139.0,noisy
84.68,139.0,noisy
111.07,130.0,noisy
70.17,130.0,noisy
75.75,147.0,noisy
80.17,147.0,noisy
78.46,166.0,noisy
69.26,166.0,noisy
57.97,162.0,noisy
65.44,162.0,noisy
60.82,160.0,noisy
59.05,160.0,noisy
76.22,163.0,noisy
57.48,163.0,noisy
28.24,169.0,noisy
20.42,171.0,noisy
23.6,172.0,noisy
23.98,172.0,noisy
19.96,172.0,noisy
22.43,172.0,noisy
23.18,172.0,noisy
22.51,173.0,noisy
41.97,173.0,noisy
84.13,174.0,noisy
23.67,174.0,noisy
22.09,172.0,noisy
31.35,172.0,noisy
23.67,178.0,noisy
29.97,178.0,noisy
27.11,173.0,noisy
23.78,173.0,noisy
24.38,175.0,noisy
24.49,175.0,noisy
26.54,174.0,noisy
24.85,174.0,noisy
23.72,175.0,noisy
23.03,175.0,noisy
25.11,175.0,noisy
25.42,175.0,noisy
25.44,176.0,noisy
20.48,176.0,noisy
21.52,176.0,noisy
31.33,176.0,noisy
33.75,178.0,noisy
42.98,178.0,noisy
22.71,176.0,noisy
29.22,176.0,noisy
23.67,175.0,noisy
38.23,175.0,noisy
25.23,173.0,noisy
31.16,173.0,noisy
39.09,175.0,noisy
29.66,175.0,noisy
32.61,178.0,noisy
31.59,178.0,noisy
34.91,180.0,noisy
25.91,180.0,noisy
31.58,176.0,noisy
28.39,176.0,noisy
28.86,175.0,noisy
40.91,175.0,noisy
24.3,175.0,noisy
26.65,175.0,noisy
22.27,182.0,noisy
25.07,182.0,noisy
34.16,181.0,noisy
23.72,181.0,noisy
30.31,176.0,noisy
33.19,176.0,noisy
33.25,175.0,noisy
30.98,175.0,noisy
29.13,176.0,noisy
23.58,176.0,noisy
34.59,177.0,noisy
20.57,177.0,noisy
27.27,179.0,noisy
30.99,179.0,noisy
24.21,180.0,noisy
34.93,180.0,noisy
33.33,180.0,noisy
27.86,180.0,noisy
31.35,177.0,noisy
24.54,177.0,noisy
25.6,174.0,noisy
26.65,174.0,noisy
34.44,173.0,noisy
33.23,173.0,noisy
67.89,174.0,noisy
34.9,174.0,noisy
31.48,173.0,noisy
35.39,173.0,noisy
29.59,172.0,noisy
40.84,172.0,noisy
30.3,174.0,noisy
34.0,174.0,noisy
30.66,173.0,noisy
30.49,173.0,noisy
41.12,174.0,noisy
33.48,174.0,noisy
25.5,172.0,noisy
35.64,172.0,noisy
36.96,169.0,noisy
28.07,169.0,noisy
43.21,170.0,noisy
27.5,170.0,noisy
26.5,174.0,noisy
39.39,174.0,noisy
32.23,176.0,noisy
24.58,176.0,noisy
37.63,173.0,noisy
30.92,173.0,noisy
24.92,172.0,noisy
30.71,172.0,noisy
34.8,173.0,noisy
27.92,173.0,noisy
30.7,176.0,noisy
30.21,176.0,noisy
38.01,177.0,noisy
32.62,177.0,noisy
24.12,171.0,noisy
29.78,171.0,noisy
29.39,171.0,noisy
27.84,171.0,noisy
52.82,90.0,noisy
60.39,90.0,noisy
88.62,129.0,noisy
67.6,129.0,noisy
90.74,149.0,noisy
77.53,149.0,noisy
154.39,149.0,noisy
222.45,149.0,noisy
204.32,146.0,noisy
210.71,146.0,noisy
265.96,144.0,noisy
233.89,144.0,noisy
249.27,145.0,noisy
234.48,145.0,noisy
298.71,147.0,noisy
237.04,147.0,noisy
300.49,149.0,noisy
245.9,149.0,noisy
241.59,147.0,noisy
308.68,147.0,noisy
279.53,150.0,noisy
232.87,150.0,noisy
255.33,149.0,noisy
288.94,149.0,noisy
250.23,149.0,noisy
298.9,149.0,noisy
243.51,151.0,noisy
246.81,151.0,noisy
321.57,150.0,noisy
252.54,150.0,noisy
266.87,149.0,noisy
160.29,149.0,noisy
80.91,172.0,noisy
73.85,172.0,noisy
58.63,176.0,noisy
50.34,176.0,noisy
89.14,175.0,noisy
55.94,175.0,noisy
67.18,175.0,noisy
48.84,175.0,noisy
28.08,178.0,noisy
24.38,178.0,noisy
51.19,139.0,noisy
79.07,139.0,noisy
96.22,149.0,noisy
91.73,149.0,noisy
84.12,148.0,noisy
64.84,148.0,noisy
35.18,151.0,noisy
39.65,151.0,noisy
40.42,149.0,noisy
66.46,149.0,noisy
112.57,150.0,noisy
189.09,150.0,noisy
242.51,151.0,noisy
258.89,128.0,noisy
254.2,128.0,noisy
228.8,108.0,noisy
211.86,108.0,noisy
208.65,23.0,noisy
269.64,23.0,noisy
282.0,20.0,noisy
252.11,20.0,noisy
202.15,19.0,noisy
252.26,19.0,noisy
210.85,17.0,noisy
213.49,17.0,noisy
142.73,16.0,noisy
89.66,16.0,noisy
94.38,14.0,noisy
66.11,14.0,noisy
42.61,18.0,noisy
52.81,18.0,noisy
69.05,15.0,noisy
106.09,15.0,noisy
184.42,17.0,noisy
132.77,17.0,noisy
143.94,16.0,noisy
